光学字符识别	OCR
海军陆战队	marines
海军陆战队员	gyrene|leatherneck
海勒姆	Hiram
海华沙	Hiawatha
海参	trepang|holothurian
海员	seafarer
海啸	tsunami
海因斯	Hines
海因策	Heinze
海因莱因	Heinlein
海因里希	Heinrich
海地	Haiti
海地的	Haitian
海外	oversea
海山	seamount
海岸	coast|shore
海岸松	pinaster
海岸线	shoreline|coastline
海岸警卫队	coastguard
海峡	strait|narrows
海市蜃楼	mirage
海床	seabed
海底	seafloor|undersea
海得拉巴	hyderabad
海德	Hyde
海德堡	Heidelberg
海德格尔	Heidegger
海怪	kraken
海恩尼斯	Hyannis
海恩斯	Haynes|Haines
海报	poster
海拔	altitude|elevation
海斯	Hays|Hayes
海明威	Hemingway
海星	starfish
海景	seascape
海景画	seapiece
海曼	Hyman
海梅	Jaime
海棠果	crabapple
海森堡	Heisenberg
海水	seawater
海水养殖	mariculture
海沃德	Hayward
海法	Haifa
海泡石	meerschaum
海洋	seas|ocean
海洋女神	oceanid
海洋学	oceanography
海洋学家	oceanographer
海洋学的	oceanographic
海洋的	oceanic
海洋馆	Seaquarium
海洛因	herion|heroin
海涅	Heine
海港	seaport
海湾	bay|gulf
海滨	seafront
海滨浴场	lido
海滩	beach|plage
海滩般的	beachy
海燕	petrel
海牙	Hague
海牛	manatee|sirenian
海特	Hiatt
海狸	DBeaver
海王星	Neptune
海王星论者	neptunist
海瑞	Hirey
海瑟	Heiser
海登	Hayden
海百合	crinoid
海盗	pirate|corsair
海石蕊	archil
海绵	sponge
海绵宝宝	SpongeBob|SquarePants
海绵状	sponginess
海绵状的	spongy
海绿	pimpernel
海胆	urchin|echinus
海能达	hytera
海芋	arum
海莉	Haley
海菲尔德	Highfield
海葵	anemone
海蒂	heidi
海蓝宝石	aquamarine
海藻	kelp|seaweed
海螺	whelk|conch
海角	cabo|promontory
海豚	dolphin
海豚座	Delphinus
海象	walrus
海豹	seal
海豹皮	sealskin
海贼王	One Piece
海边	seaside
海运的	seaborne
海道	seaway
海难	shipwreck
海雀	auk
海顿	Haydn
海风	seaving
海马	seahorse
海鲜	seafood
海鲜汤	chowder
海鳝	moray
海鸟	seafowl|seabird
海鸥	seagull
海鹦	puffin
海鹰	seahawks
海龙	pipefish
浸信会	Baptist
浸信会教徒	Baptists
浸入	dips|dipped
浸水	waterlog
浸泡	soak|souse
浸泡器	soaker
浸液	dippings
浸湿	ret
浸软	macerate
浸透	drench
浸透的	waterlogged
涂墨工具	dabber
涂层	coating
涂层的	coated
涂抹	daub|smear
涂抹器	applicator
涂抹奶酪	smearcase
涂抹物	smears
涂抹的	smeared
涂抹者	dauber
涂擦	inunction|embrocate
涂柏油的	tarred
涂油	anele|anoint
涂油的	oiled|greased
涂皂	soaping
涂皂的	soaped
涂石膏的	plastered
涂红	miniate
涂蜡的	cerated
涂鸦	doodle|graffito
涂鸦扩散	Scribble Diffusion
涂黄油	buttered|buttering
涂黄油者	butterer
涂黑	blacking
涅槃	nirvana
涅瓦河	Neva
消亡	perishes
消侧音	antisidetone
消像散的	anastigmatic
消像散镜	anastigmat
消化	digest|digestion
消化不良	apepsia|indigestion
消化不良的	dyspeptic|indigestive
消化中	digesting
消化性	digestive
消化的	peptic
消声的	anechoic
消失	vanish|evanish
消失者	vanisher
消息	msg|tiding
消息传递	messaging
消息应用编程接口	MAPI
消息报	Izvestia
消息队列	RocketMQ|Apache Kafka
消散	evanesce|dissipate
消散器	dissipator
消散的	dissipated
消极主义	negativism
消极主义者	negativist
消极性	negativity
消歧	disambiguate|disambiguation
消毒	sanify|sanitize
消毒剂	disinfectant
消毒器	sterilizer
消泡	defoam
消灭	annihilate|exterminate
消灭中	exterminating
消炎药	antiphlogistic
消瘦	emaciate|emaciation
消瘦的	tabid|peaky
消磁	deperm|degauss
消耗	consume
消耗品	consumable
消耗地	consumptively
消耗的	consumed|consuming
消肿	detumescence
消融	ablates|ablation
消融中	ablating
消费	consumption
消费主义	consumerism
消费价格指数	cpi
消费税	excise
消费者	consumer|spenders
消费者对消费者	CC
消退	subside
消遣	pastime
消防员	fireman|firemen
消防栓	hydrant|fireplug
消防站	firehouse
消防船	fireboat
消除	eliminate|elimination
消除器	eliminator|eliminatro
消音	muffle|silenced
消音中	muffling
消音器	muffler|silencer
消音的	muffled
涉及	involve
涉及中	involving
涉及的	involved
涉水	wade
涉水了	waded
涉水者	wader
涉猎	dabble
涉猎中	dabbling
涉猎者	dabbler
涉猎过	dabbled
涌入	influx|afflux
涌出	gush|welled
涌回	regorge
涟漪	ripple
涡卷装饰	scrollwork
涡旋	volute
涡虫	planarian
涡轮	turbo
涡轮包	Turbopack
涡轮化	turbination
涡轮发电机	turbogenerator
涡轮机	turbine
涡轮螺旋桨发动机	propjet
涤纶	Dacron|terylene
润滑	lubricate|lubrication
润滑剂	lubricant
润滑油	lube
润肤剂	emollient
润饰	retouch
液体	liquid
液化	liquefy|fluidify
液化剂	liquefacient
液化的	liquefied
液压	hydraulic
液压学	hydraulics
液晶显示器	LCD|Liquid Crystal Display
液泡	vacuole
液盎司	fluidounce
涵洞	culvert
淀粉	starch
淀粉的	amylaceous
淀粉质	starchiness
淀粉酶	amylase|diastase
淋巴	lymph
淋巴样的	lymphoid
淋巴瘤	lymphoma
淋巴的	lymphatic
淋巴细胞	lymphocyte
淋浴	shower
淋球菌	gonococcus
淑女	gentlewoman
淑女的	ladylike
淑女身份	ladyhood
淘气	naughty|mischievousness
淘气地	mischievously
淘气的	roguish|mischievous
淘气鬼	scamp
淘汰	wipeout
淘汰赛	knockout
淘汰赛js	Knockout.js
淘洗	panning
淡出	fadeout
淡化	downplay
淡化了	downplayed
淡水	freshwater
淡粉	pinkish
淡紫色	mauve
淡绿的	greenish|viridescent
淡蓝的	bluish
淡黄	yellowish
淤泥	silt|muck
淤积	silted|silting
淫秽	bawdry|obscene
淫秽地	lewdly
淫秽的	lewd|smutty
淫荡	lewdness
深不可测	fathomless|inscrutable
深切口	gash
深切感受	homefelt
深刻地	profoundly
深刻的	profound
深喉	deepthroat
深处	deeps|depths
深奥	abstruse|abstruseness
深奥的	esoteric|recondite
深度	depth|deepin
深思	perpend
深思熟虑	deliberates|deliberation
深思熟虑地	advisedly
深思熟虑的	deliberated
深情	soulful
深情地	fondly|affectionately
深情的	affettuoso|affectionate
深成的	plutonic
深海球形潜水器	bathysphere
深海电导仪	bathyconductorgrahp
深深地	deeply
深渊	abyss
深渊的	abyssal
深爱地	dearly
深的	deep
深红	crimson
深红色的	laky
深蓝色	mazarine
深褐色	sepia
深谷	coulee
深邃的	cavernous
深闺制度	purdah
混乱	mess|snafu
混乱地	chaotically
混乱状态	disorderliness
混乱的	jumbly|jumbled
混凝土	concrete
混合	mix|admix
混合不足	undercompounded
混合物	mixture|melange
混合的	mixed|admixed
混合饮料	swizzle
混合驱动	hybrid drive
混合驱动器	hybrid drive
混成词	portmanteau
混战	melee|fracas
混战中	scuffling
混战了	scuffled
混杂地	miscellaneously
混杂性	miscellaneousness
混涎	insalivation
混淆	mixup|garble
混淆的	garbled|confounding
混淆者	confuser
混蛋	bugger|fucker
混血	biracial|miscegenation
混血儿	griffe|mestizo
混音	remix
混音器	mux
淹死	drown|drowne
淹死的	drowned
淹没	whelm|swamped
淹没中	submerging
淹没的	submerged|submersed
添加	add|git add
添加全部	git add .
添加剂	additive
添加物	additions
添加的	added
清	Ching
清仓	closeout
清偿	acquittance
清创	debride
清单	ckecklist|checklist
清单V	Manifest V
清唱剧	oratorio
清扫	sweep
清扫器	sweeper
清扫物	sweepings
清扫的	sweeping
清教主义	puritanism
清教化	Puritanize
清教化者	Puritanizer
清教徒	Puritan
清教徒的	puritanic|puritanical
清新	freshen
清新中	freshening
清新了	freshens|freshened
清新剂	freshener
清晰	clarity|lucidity
清晰发音	enunciate|enunciation
清晰地	legibly|articulately
清晰度	clearness|legibility
清晰的	lucid|legible
清晰表达	articulate|articulation
清晰表达的	articulated
清楚地	clearly
清水	Clearwater
清汤	consomme|consommé
清洁	clean|deterge
清洁剂	iKlear|cleaner
清洁女工	scrubwoman
清洁工	swabber|dustman
清洁度	cleanliness
清淡	lite
清漆	varnish
清澈	limpid|limpidity
清澈的	pellucid
清灰工	ashman
清爽	refreshing
清爽地	refreshingly
清理	cleanup|clearing
清理我的Mac	Clean My Mac
清白	innocence|blamelessness
清真寺	mosque
清空	blanked|empties
清算	liquidate|liquidation
清算人	liquidator
清算所	clearinghouse
清脆地	crisply
清脆的	tinkly
清辅音	tenuis
清道夫	scavenger
清醒	sober|soberly
清除	rids|clear
清除中	purging
清除者	purger
清除行动	purges
渎职	malpractice|misfeasance
渎职者	malfeasant
渐亏	decrescent
渐变	gradation
渐变的	gradational
渐屈线	evolute
渐开线	involute
渐强	crescendo
渐慢	allargando
渐慢的	lentando
渐新世	Oligocene
渐近地	asymptotically
渐近的	asymptotic
渐近线	asymptote
渐进主义	gradualism
渐进性	gradualness
渔业	fisheries
渔业的	piscatorial
渔场	fishery
渔夫	fisher|piscator
渔民	fishermen|fisherman
渗入	seeped
渗出	ooze|seep
渗出液	transudate
渗出物	exudate
渗出的	oozy
渗漏	seeps|seepage
渗透	osmose|osmosis
渗透中	permeating
渗透性	permeability
渗透的	osmotic|permeated
渡渡鸟	dodo
渡轮	ferry|ferries
渡边	Watanabe
渣滓	dreg|dross
渥太华	Ottawa
温	Wynn
温伯格	Weinberg
温内特卡	Winnetka
温切尔	Winchell
温和	gentle|gentel
温和地	gently|mildly
温和派	moderates
温和的	mild|balmy
温哥华	Vancouver
温塞特	Winsett
温妮	Winnie
温室	hothouse|greenhouse
温小姐	MissWarmJ
温尼	winy
温尼伯	Winnipeg
温尼珀索基	Winnipesaukee
温尼贝戈	Winnebago
温带森林	temperate forest
温带草原	temperate grassland
温床	hotbed
温度	temperature
温度计	thermometer
温度记录仪	thermograph
温彻斯特	Winchester
温德姆	wyndham
温德尔	Wendell
温思罗普	Winthrop
温文尔雅	suave|suavity
温斯伯勒	Winsborough
温斯坦	Weinstein
温斯洛	Winslow
温斯顿	Winston
温暖	warmth
温暖的	warm
温柔地	tenderly
温柔的	tender
温特斯	Winters
温特沃斯	Wentworth
温石棉	chrysotile
温网	wimbledon
温莎	Windsor
温菲尔德	Winfield
温迪	Wendy
温顺	docile|tameness
温顺地	tamely|meekly
温顺的	meek|tractable
港	hong
港务官	portreeve
港口	port|havens
渲染	render
渴	thirst
渴了	thirsted
渴地	thirstily
渴望	eager|crave
渴望了	aspired
渴望的	agog|raring
渴的	thirsty
游丝	hairspring
游乐场	tivoli|fairground
游侠行为	errantry
游击手	shortstop
游击队员	guerrilla
游动孢子	zoospore
游历	peregrinate|peregrination
游历的	peripatetic
游吟诗人	troubadour
游客	tourist
游戏	game
游戏围栏	playpen
游戏基地	gamespot
游戏室	playroom
游戏常见问题	GameFAQs
游戏引擎	Godot Engine
游戏时间	playtime
游戏机	GBC|GBA
游戏玩法	gameplay
游戏男孩	GameBoy|Game Boy
游戏男孩彩色版	Game Boy Color
游戏男孩进阶版	Game Boy Advance
游戏立方	GameCube
游戏金融	GameFi
游戏间谍	GameSpy
游标	nonius|vernier
游泳	swim|swam
游泳的	natatory
游泳者	swimmer
游牧	nomadism
游牧民	nomad
游牧的	nomadic
游艇	yacht
游艇手	yachtsman
游荡	gad
游荡者	gadabout
游行	parade
游行者	marcher|parader
游览	tour
游览中	touring
游览过	toured
游说	lobby|canvass
游说中	canvassing
游说者	canvasser
游说过	canvassed
游过	swum
游隼	peregrine
湄公河	Mekong
湍流	turbulence
湖	loch|lake
湖人	lakers
湖区	lakeland
湖沼学	limnology
湖泊	lakes|lough
湖边	lakeside
湿	wet
湿冷	clammy|clammily
湿地	wetland
湿婆	Siva|Shiva
湿度	humidity
湿度仪	hygroscope
湿度计	hygrometer|psychrometer
湿润地	moistly
湿漉漉地	wetly
湿漉漉的	drippy|bedraggled
湿疹	eczema
湿软	soggy
湿透的	sodden|soaked
溃烂	fester|ulcerate
溃烂的	cankered
溃疡	ulcer|canker
溃疡形成	ulceration
溃疡性的	ulcerous
溃疡的	cankerous
溃败	rout
溅	splash
溅射	sputtering
溅水	splashes
溅污	bespatter
溅泼	plash|slosh
溅洒	spatter|splatter
溅洒的	spattered
溅湿	bedabble|splashed
溅落	splashdown
源	src|source
源头	headspring|fountainhead
源泉	fount|wellspring
源泉的	fontal
源码树	sourcetree
溜冰场	rink|icerink
溜走	slink
溢出	slop|spill
溢出中	spilling
溢出物	spilth|spillage
溢出的	spilt|spilled
溢出者	spiller
溢洪道	spillway
溪流	stream|runnel
溲疏	deutzia
溴	Br|bromine
溴中毒	bromism
溴化物	bromide
溴酸盐	bromate
溶剂	solvent|menstruum
溶素	lysin
溶胶	sol
溶血	hemolysis|haemolysis
溶解	dissolve|solubilisation
溶解度	solubility
溶解的	dissolved
溶质	solute
溺亡事件	drownings
溺水	drowning
溺爱	dote
溺爱地	dotingly
溺爱的	doting
滋养	nourish|nourishment
滋养的	nutritive|nourished
滋味	sapidity
滋扰	nuisance
滑	slid|slide
滑倒	slip|slipped
滑冰	skate
滑冰者	skater
滑动	sliding|slippage
滑囊	bursa
滑囊炎	bursitis
滑回	slideback
滑块	slider
滑坡	landslide
滑奏	glissando
滑板	skateboard
滑板车	scooter
滑板运动	skateboarding
滑步	sashay
滑水板	aquaplane
滑液	synovia
滑溜	slipperiness
滑溜的	slicy|slithery
滑的	slippery
滑石	talc|steatite
滑石的	steatitic
滑石粉	talcum
滑稽	antic|waggery
滑稽动作	antics
滑稽地	drolly|funnily
滑稽戏	burlesque
滑稽模仿	travesty|travesties
滑稽的	zany|droll
滑翔	gliding
滑翔学	aerodonetics
滑翔机	glider
滑膛	smoothbore
滑膜炎	synovitis
滑行	glide|slither
滑行道	taxiway
滑轮	pulley|sheave
滑轮组	pulleys|sheaves
滑过	glided|skated
滑道	chute|logway
滑铁卢	Waterloo
滑降	glissade
滑雪	ski|snowboarding
滑雪大师	skimeister
滑雪板	skis|snowboard
滑雪橇	sledding
滑雪者	skier
滚动	roll|trundle
滚动中	rolling
滚动的	rolled
滚地球	grounder
滚烫的	scalding
滚筒	roller
滚花	knurl
滞后	lag|lagging
滞后现象	hysteresis
滞期费	demurrage
滞胀	stagflation
滞销	unsalable|unmarketable
满	full
满口袋	pocketful
满堂	fullhouse
满壶	jugful
满屋	roomful|houseful
满屏	screenful
满意	satisfied|satisfactory
满族	manchu
满杯	brimmer
满桶	pailful
满洲	Manchuria
满洲的	manchurian
满溢	brimful
满盘	trayful
满眼	eyeful
满箭筒	quiverful
满篮	basketful
满罐	canful|tankful
满腹	bellyful
满膝	lapful
满袋	bagful
满足	sate|satisfy
满足地	contently
满足的	sated|contended
满载的	laden|loaded
滤出	leach
滤液	filtrate
滤网	strainer
滤锅	colander
滥交	promiscuity
滥交的	promiscuous
滥用	abuse|abusage
滨水区	waterfront
滨河	riverfront
滨草	marram
滨鸟	shorebird
滨鹬	dunlin
滩头指挥官	beachmaster
滩头阵地	beachhead
滩涂	mudflats
滴	drib|drip
滴下	trickled
滴定	titrate
滴定法	titration
滴定管	burette
滴度	titre|titer
滴水石	dripstone
滴流	trickling
滴滤壶	dripolator
滴状的	guttate
滴答声	ticking|ticktack
滴答清单	TickTick
滴管	dropper|eyedropper
滴落	drops|dripping
滴过	dript
漂亮	pretty|prettiness
漂亮地	bonnily|prettily
漂亮的	bonny|dishy
漂流	drift|rafting
漂流物	driftage
漂流者	drifter
漂浮	float|levitate
漂浮了	floated
漂浮残骸	flotsam
漂浮物	flotage|floater
漂浮生物	pleuston
漂浮的	adrift|natant
漂白	bleach|whitening
漂白剂	whitener|bleacher
漂白的	bleached
漂移	drifts|drifting
漂蓝	bluing
漆	lacquer
漆器	lacquerware
漆工	lacquerer
漆树	sumac
漏写	lipography
漏斗	funnel
漏洞	bug|loophole
漏电	leakance|creepage
演出	gig
演员	actor|thespian
演奏者	instrumentalist
演戏	playact
演替系列	seral
演示	demo|demonstrate
演示文稿	PPT|PowerPoint
演示文稿格式	pptx
演示者	demonstrator
演绎	rendition
演绎的	deductive
演讲	speech|oration
演讲术	oratory|elocution
演讲稿撰写人	speechwriter
演讲者	speechmaker
演说	spiel|orate
演说家	orator|rhetor
演说的	oratorical
演说者	spieler|perorator
漠不关心	unconcern
漠不关心地	unconcernedly
漠不关心的	indifferent
漩涡	eddy|gyre
漩涡的	vortical
漫威电影宇宙	MCU
漫无目的	aimlessly
漫步	amble|mosey
漫步中	ambling
漫步者	ambler|rambler
漫步过	ambled|wandered
漫游	rove|roam
漫游癖	wanderlust
漫游的	roving|rambling
漫游经历	wanderings
漫游者	rover|wanderer
漫画	manga|comic
漫画家	cartoonist|caricaturist
漫谈	ramblings
漫长的	livelong
漱口	gargle
漱口水	gargles
漱口的	gargled
潇洒	panache
潇洒的	rakish|debonair
潘乔	Pancho
潘兴	Pershing
潘多克	Pandoc
潘多拉	Pandora
潘帕	pampa
潘帕斯	pampas
潘恩	Paine
潘诺酒	Pernod
潘迪特	pandit
潘道迪	pandowdy
潜伏	lurk|skulk
潜伏中	skulking
潜伏的	perdue
潜伏者	skulker
潜伏过	skulked
潜力	potentials|potentiality
潜台词	subtext|undersong
潜台词地	subtextually
潜台词的	subtextual
潜在	underlying
潜在地	potentially
潜在的	latent|potential
潜意识	subconscious
潜意识地	subconsciously
潜意识的	subliminal
潜望镜	periscope
潜水	dive|scuba
潜水员	diver
潜水的	phreatic
潜水者	ducker
潜艇	subs|submarine
潜艇员	submariner
潜行	prowl
潜行者	prowler
潜逃	lam|abscond
潜鸟	loon
潦草	scribbled
潦草书写	scrawl
潦草的	crabbed
潦草线	squiggle
潦草者	scribbler
潮人	hipster
潮水	tided|tidewater
潮汐	tide
潮汐地	tidally
潮汐的	tidal
潮流	bandwagon
潮流引领者	tastemaker
潮湿	damp|moist
潮湿地	damply
潮湿的	humid|humidly
潮痕	tidemark
潮解	deliquesce
潮解性	deliquescence
潮道	tideway
潮间带	tideland|intertidal
澄清	clarify|clarified
澄清器	clarifier
澡堂	bathhouse
澳元	AUD
澳大利亚	Australia
澳大利亚人	aussie|australians
澳大利亚化	Australianize
澳大利亚的	Australian
澳大拉西亚	australasia
澳洲坚果	Macadamia
澳洲野犬	dingo
澳门	macau|macao
激光	laser
激光发射	lasing
激光打印机	LaserJet
激光雷达	lidar
激动	thrill|swivet
激动地	agitato|agitatedly
激动的	thrilled|agitated
激励	bestir|inspire
激励器	exciter
激励的	motivating|motivational
激励管	excitron
激励者	inspirer|invigorator
激发	excite|energise
激增	surge|spiking
激子	exciton
激怒	rile|ires
激怒的	galled|irritating
激情	passion
激战	slugfest
激活	activate|vitalise
激活剂	actiyator|activator
激活的	activated
激流	torrent|riptide
激烈	vehemence|fierceness
激烈地	hotly|fiercely
激烈的	fierce|drastic
激素	hormone
激素学	hormonology
激素的	hormonal
激起	provoke
激起热情	impassion
激进主义	radicalism
激进分子	radicals
激进化	radicalise|radicalize
激进的	radical
激酶	kinase
濒危的	endangered
濒死	perishing
濒死的	agonal
瀑布	falls|cascade
灌木	bush|shrub
灌木丛	bushes|thicket
灌木火	brushfire
灌木状的	shrubby
灌注	perfuse|perfusion
灌洗	lavement
灌浆	grout
灌溉	irrigate|irrigation
灌溉中	irrigating
灌溉的	irrigated
灌溉者	irrigator
灌肠	enema
灌肠器	clyster
灌输	imbue|instill
灌输者	inculcator
火	fire
火光	firelight
火力	firepower
火化	cremate
火化的	cremated
火卫一	Phobos
火卫二	Deimos
火山	volcano
火山作用	volcanism|Vulcanism
火山口	crater
火山口状	crateriform
火山地	volcanically
火山学	volcanology
火山学家	vulcanist
火山的	volcanic
火山砾	lapillus
火币	huobi
火成的	igneous
火星	Mars
火星人	Martian
火星编辑	MarsEdit
火枪	fusil|musket
火枪手	musketeer
火柴	matches|locofoco
火柴盒	matchbox
火柴簿	matchbook
火棉	guncotton
火流星	bolide
火灾	fires
火炬	torch|flambeau
火炬光	torchlight
火炬手	torchbearer
火烈鸟	flamingo
火焰	blaze|flame
火焰截图	flameshot
火焰般的	flamy
火狐	Firefox|Mozilla
火狐浏览器	Mozilla Firefox
火球	fireball
火盆	cresset|brazier
火石	Firestone
火神	Vulcan
火箭	rocket
火箭弹	rockets
火箭技术	rocketry
火箭气球	rockoon
火箭筒	bazooka
火线	firewire
火绒	tinder
火绒盒	tinderbox
火绳杆	linstock
火绳枪	arquebus|matchlock
火腿	ham
火花	spark
火花塞	sparkplug
火花盒	sparkbox
火草	fireweed
火药	gunpowder
火葬	cremation
火葬场	crematory
火葬柴堆	pyre
火诺	Hono
火车	train|choochoo
火速	posthaste
火锅	hotpot
火门	touchhole
火险建筑	firetrap
火鸟	firebird
火鸡	turkey
火龙	firedrake
灭火器	quencher|extinguisher
灭绝	extinct|extinction
灭虫者	exterminator
灭霸	thanos
灭鼠剂	rodenticide
灭鼠药	raticide
灯	lamp
灯丝	filament
灯光	lights|lamplight
灯塔	pharos|beacon
灯柱	lamppost
灯泡	bulb
灯火管制	dimout
灯笼	lantern
灯笼裤	bloomers|Knickerbockers
灯箱	lightbox
灯船	lightship
灯芯	wick
灯芯绒	corduroy
灯芯绒裤	cords
灯草鹀	junco
灯黑	lampblack
灰	ash|Gris
灰化	greycing
灰姑娘	Cinderella
灰尘	dust
灰心	downhearted
灰暗地	grayly|greyly
灰泥	stucco
灰浆桶	hod
灰烬	ashes
灰熊	grizzly
灰白	ashy|hoar
灰白的	hoary|grizzled
灰盘	ashpan
灰胡子	greybeard
灰胡桃	butternut
灰色	gray|grey
灰蝶	hairstreak
灰褐色	taupe
灰黄的	sallow
灵化	spiritualization
灵巧	deft|sleight
灵巧地	deftly|handily
灵巧的	nifty|adroit
灵性	spirituosity|spirituality
灵感	afflatus|inspiration
灵柩台	catafalque
灵歌	spirituals
灵气	reiki
灵泉	hippocrene
灵活地	flexibly
灵活性	flexibility|flexibilities
灵活的	flexible
灵液	ichor
灵液的	ichorous
灵猫科	viverrine
灵缇犬	greyhound
灵药	elixir
灵越	inspiron
灵车	hearse
灵长类动物	primate
灵长类动物学	primatology
灵长类动物首领职位	primateship
灵魂	soul|anima
灵魂伴侣	soulmate
灵魂摆渡人	spiritfarer
灶鸟	ovenbird
灼热地	searingly
灼热的	searing|scorching
灾祸	scourge
灾难	calamity|disaster
灾难性地	disastrously
灾难性的	calamitous|disastrous
灿烂	fulgent|radiant
灿烂地	radiantly
炉前地毯	hearthrug
炉子	stove
炉架	hob
炉灶	cookstove
炉石	hearthstone
炉膛	firebox
炉边	fireside|hearthside
炊具	cooker
炎热	torridity
炎热天	scorcher
炎热天气	sizzler
炎热的	torrid
炎症	inflammation
炒作	hype
炒锅	wok
炖	braise|simmer
炖兔肉	hasenpfeffer
炖小牛肉	fricandeau
炖煮	simmers|simmering
炖熟的	stewed
炖牛肉	goulash
炖肉	fricassee
炖菜	stew|hoosh
炖过的	simmered
炖锅	stewpot|stewpan
炫耀	swank|showy
炫耀地	showily
炫耀的	viewy|ostentatious
炭烤	charcoaled
炭疽	anthrax
炮兵	artillery|artillerist
炮击	shelling|cannonade
炮塔	casemate
炮塞	tampion
炮座	barbette
炮弹	cannonball
炮手	gunner|cannoneer
炮术	cannonry
炮火	gunfire|shellfire
炮艇	gunboat
炮铜	gunmetal
炮闩	breechblock
炸丸子	croquette
炸弹	bomb
炸毁	dynamited
炸药	TNT|dynamite
炸药包	petard
炸面圈	cruller
点	dot|pts
点亮的	lighted
点内存	dotMemory
点击	clic|click
点击器	clicker
点唱机	jukebox
点头	nod|nutate
点头了	nodded
点对点	PP|ppp
点彩画家	pointillist
点彩画法	pointillism
点心	refreshment
点播器	dibble
点火	ignition
点火器	ignitor
点火管	ignitron
点灯人	lamplighter
点燃	lit|kindle
点燃的	kindled
点状	punctate
点画	stipple
点窥探	dotPeek
点缀	dotted|dotting
点缀中	interspersing
点覆盖	dotCover
点追踪	dotTrace
点钟	o'clock
炼狱	purgatory
炼狱的	purgatorial
炼金术	alchemy
炼金术士	alchemist
炼金术的	alchemic
炼钢	steeling
炼钢工	steelmaker
炽热	fervid|fieriness
炽热地	fierily|burningly
炽热的	fiery|blazing
烂醉	blotto
烈啤酒	stingo
烈性子	spitfire
烈酒	spirits|firewater
烘干机	dryer
烘炉	oast
烘烤	bake|parching
烘焙	bakes|baking
烙印	imprinted|imprinting
烙印机	imprinter
烙饼	flapjack
烛光	candlelight|candlepower
烛剪	snuffer
烛匠	candler
烛台	menorah|pricket
烛煤	cannel
烛瓶	candlepin
烛芯	Candlewick
烟	smoke
烟囱	chimney|smokestack
烟囱管	stovepipe
烟幕	smokescreen
烟斗柄	pipestem
烟斗石	Pipestone
烟气	fume
烟火技术	pyrotechnics
烟灰缸	ashtray
烟熏鱼	smokies
烟花	firework
烟草	tobacco
烟草商	tobacconist
烟道	flue
烟道的	fluey
烟酰胺	nicotinamide
烟雾	smog
烟雾弥漫的	smoky
烟雾缭绕地	smokily
烤	roast|broil
烤具	ovenware
烤好的	baked
烤干	parch
烤架	grill|gridiron
烤炉	roaster|broiler
烤的	broiled|grilled
烤箱	oven
烤肉串	kabob|skewer
烤蛤会	clambake
烤过的	toasted
烤面包机	toaster
烤面饼	crumpet
烦人	bothersome|disturbing
烦人地	tiresomely
烦人的	pesky|carking
烦恼	fret|annoyed
烦恼了	fretted
烦恼地	vexedly
烦恼的	irked|vexed
烦扰	bothers
烦躁	fantod|fretful
烦躁地	fretfully
烦躁的	fidgety
烧伤	burns
烧杯	beaker
烧毁的	burned
烧灼	sear|cauterize
烧灼术	cautery
烧烤	BBQ|barbecue
烧烤的	barbecued
烧焦	char|singe
烧焦地	burntly
烧焦状态	burntness
烧焦痕迹	scorches
烧焦的	burnt|singed
烧瓶	flask
烧结	sinter
烩饭	risotto
烫伤	scald
烫伤的	scalded
烫发	perm
热	heat
热光	calorescence
热内卢	Janeiro
热切地	keenly|avidly
热切的	avid
热力学	thermodynamics
热力学的	thermodynamic
热化学	thermochemistry
热固性的	thermosetting
热塑性	thermoplasticity
热塑性塑料	thermoplastic
热带	tropic
热带地区	tropics
热带的	tropical
热带间	intertropical
热带雨林	tropical rain forest
热度	hotness
热心	zealousness
热心地	zealously
热心的	zealous|warmhearted
热忱	ardent|fervency
热情	zeal|zest
热情地	warmly|glowingly
热情的	zestful|effusive
热敏复印	Thermofax
热敏电阻	posistor|thermistor
热敷	fomentation
热核的	thermonuclear
热液的	hydrothermal
热点	hotspot
热烈地	ardently|fervently
热电偶	thermocouple
热电子	thermoelectron
热电安培计	thermoammeter
热电性	pyroelectricity
热电的	thermoelectric
热的	hot|thermal
热箱	hotbox
热线	hotline
热衷	keenness
热衷的	keen
热解	pyrolysis
热诚	fervent|cordiality
热诚地	heartily
热诚的	hearty
热那亚	Genoa
热那亚人	genoese
热量单位	therm
热量的	caloric
热量计	calorimeter
热键脚本	AutoHotkey
热闹的	buzzy
热风	sirocco
烷基	alkyl
烹饪	cooking|cuisine
烹饪术	cookery
烽火	balefire
焊工	welder
焊接	weld|soldering
焊接的	welded|soldered
焊料	solder
焊枪	blowtorch
焕新	rejuvenate|rejuvenescence
焕新剂	rejuvenator
焕新的	rejuvenescent
焚化	incinerate|incineration
焚化炉	incinerator
焚尸炉	cremator
焚风	foehn
焦油	tar
焦油刷	tarbrush
焦点	foci|focus
焦点地	focally
焦点的	focal
焦糖	caramel
焦耳	joule
焦虑	angst|anxiety
焦虑地	anxiously
焦虑的	anxious
焦距计	focometer
焦躁的	restive
焦黑的	adust
焯水	blanch
焯过水的	blanched
然后	then
然而	however|whereas
煅烧	calcine|calcination
煅烧过的	calcined
煎	panfry
煎剂	decoction
煎煮	decoct
煎脆	frizzle
煎蛋卷	omelet|omelette
煎锅	skillet
煎饼	pancake|griddlecake
煤	coal
