#兼容所有拼音类型的公共简码库
a	啊|哎|按|爱|安|暗
vxu	中学生|直辖市|这些是
vxy	只需要|只限于
vxz	这下子|直性子
vyd	这样的
vyg	找一个|这一个|这有个
vyh	这一行|专业户|这一回
vyj	这样就|转眼间|照妖镜
vyk	专业课|这一块|这样看
vyl	注意力|这样了|这一类
vyn	这一年
vys	这意思
vyu	主要是|这也是
vyv	志愿者|朱元璋
vyw	正因为|中英文|只因为
vyx	这也行
vyy	占有欲
vzq	重灾区
wbh	我不会|网不好
wbl	微波炉|忘不了|玩不来
wbu	我不是|未必是|无不是
wbx	我不信
wby	我不用
wbz	歪脖子
wdb	五点半
wdd	稳定的|无底洞
wdl	味道了|完蛋了|我掉了
wdm	伪代码
wdn	我带你
wdt	我的天
wfv	五分钟|为防止
wgl	万公里|玩够了|问过了
wgn	我给你|亡国奴
wgr	外国人|五个人
whr	五花肉|外行人
wht	我和他|万花筒
wjj	文件夹|挖掘机
wjl	忘记了
wkl	乌克兰|我看了
wlm	往里面|无理码
wlt	无厘头|玩两天
wlw	物联网|问了问
wlz	无论在
wmd	我们的
wmj	我没进
wmm	我妈妈|雾蒙蒙|未命名
wmn	我们能
wms	我貌似
wmu	我们是|无名氏|我没事
wmv	无名指|五秒钟
wmz	我们在
wnf	窝囊废|往南方
wnj	五年级|忘年交|万能键
wnl	往哪里|玩腻了
wqj	挖墙脚|无穷尽
wrw	我认为
wum	为什么
wuu	我是谁
wsw	无所谓|萎缩纹
wtm	为他们|维他命|我他妈
wtu	问题是|舞台上
wuh	晚上好
wus	维生素
wvj	无止境|王昭君
wvt	捂着头
wvv	无症状|文绉绉
wwk	玩玩看
wxr	外星人|外乡人|崴星人
wyb	我也不|晚一步
wyh	委员会
wyj	我已经|无意间|玩一局
wyu	我也是|武夷山
wyw	我以为|文言文|误以为
wyx	玩游戏|问一下|闻一下
wyz	我也在|乌鸦嘴
wzl	我做了|屋子里
xbd	想不到
xbh	修不好
xbj	相比较
xbk	星巴克|想不开
xbl	学不来
xbq	想不起|相比起|新标签
xbu	下半身
xbx	行不行
xct	西餐厅
xdb	修订版|现代版
xdl	想到了|想多了
xdn	想当年|许多年
xdt	心电图|行得通
xdz	小动作|小肚子
xfd	幸福的|消防队|小幅度
xfl	笑翻了
xgg	小广告|小哥哥
xgl	习惯了|醒过来
xgm	想过没
xgn	小姑娘|新概念|想跟你
xgu	小故事|性格上|习惯上
xhb	小伙伴|小黑板
xhe	小孩儿|歇会儿
xhl	学会了|想好了
xhq	下回去
xhu	西红柿|小红书
xhy	歇后语|夏侯渊
xhz	小孩子|小伙子
xjb	性价比|写剧本
xjj	小姐姐|新基金
xjx	下决心|戏剧性
xkk	先看看
xkl	辛苦了
xld	性冷淡
xlh	小狼毫
xll	下来了
xlx	心理学
xly	叙利亚
xqe	小企鹅
xql	想起来|想起了
xsl	新思路|笑死了
xum	些什么
xtl	希特勒|想通了
xuz	消失在
xvf	县政府|行政法
xvt	小纸条|瞎折腾
xvu	线装书
xvx	限制性|象征性|想这些
xvz	掀桌子
xwl	学完了|想歪了
xxn	谢谢你|相信你
xyg	下一个|选一个
xyl	吸引力
xys	小意思
xyz	小姨子
xzb	心脏病|现在不|信噪比
xzd	现在的
xzk	现在看
xzl	选择了|写字楼
xzn	现在能
xzu	现在是
xzy	现在有|写作业
xzz	现在在
ybb	一遍遍
ybt	也不太
ybw	用不完|也不晚
ycc	一次次
ycd	一次的
ycl	原材料|以此来
ycx	一次性
ydb	一定把
ydd	一点点|有多大
yde	有点儿|一点儿|有点二
ydf	一顿饭|与对方|羊癫疯
ydg	遇到过|一等功|有代沟
ydh	一定会|运动会
ydj	一等奖|一大截
ydk	一大块|一大口
ydl	意大利|遇到了|有道理
ydm	有多么|源代码
ydn	一定能|雅典娜
ydq	阅读器|一刀切|一大群
ydr	有的人|一堆人
ydu	一定是|有点事
ydv	有多种|用得着|源地址
ydx	有点像|运动鞋
ydy	运动员
ydz	应当在|一大早|一袋子
yez	因而在|幺蛾子
yfm	一方面|与父母
yfq	一分钱|与父亲|要分清
yfu	语法树
yfv	一分钟|与发展
yfx	有风险|一封信|运费险
ygg	一个个|有广告
ygj	要根据|一个劲|一根筋
ygl	英格兰|有规律
ygn	应该能|一股脑
ygr	一个人|英国人
ygt	硬骨头
ygu	应该是|一个是
ygw	应该问
ygx	有关系
ygy	一个月|应该有
ygz	应该在|一个字
yhk	银行卡
yhl	一回来
yhz	一会再
ykl	亚克力
ylb	英联邦|一览表
yld	压力大|一两点|伊利丹
ylg	有两个|一两个
ylh	有灵魂|油老虎|一两回
yll	迎来了|又来了|要来了
ylm	有礼貌|跃龙门|赢了吗
ylu	原来是|一路上
ylv	有两种|言论中|意料中
yly	越来越|有利于|愈来愈
ylz	原来在|一揽子
ymb	要明白|有毛病
ymg	幽默感
yml	有魅力|压马路|一麻溜
ymy	也没有|有没有
yqg	要求高|一千个
yql	引起了|一起来|用起来
yqr	有钱人
yqu	尤其是|要求是|摇钱树
yqw	一起玩|一千万|一千五
yqx	一起向|一起想
yqz	一起做
yum	有什么
ysq	隐私权|压岁钱
yte	英特尔
ytf	以太坊
ytl	一条路|有条理|一条龙
yvd	要知道|也知道|眼中钉
yvi	也支持|一指禅
yvr	亚洲人|意中人
yvt	一整天|一张图|易中天
yvu	也只是|一只手
yvx	一致性|一直想
yvy	有助于|以至于|以致于
ywd	英伟达
ywf	也无法|一窝蜂
ywq	圆舞曲
ywu	因为是|以为是|一晚上
ywv	意味着|有完整
yxc	有瑕疵|一小撮|鱼腥草
yxd	有效的|一想到|一小段
yxg	有效果
yxh	要学会|有些话|一小会
yxj	优先级|右下角
yxq	有兴趣|有效期
yxr	有些人|一些人
yxu	也许是|一小时
yxz	一下子|要选择
yyj	音乐节|有意见|压压惊
yyq	游泳圈
yyt	一言堂
yzl	园子里
zbd	做不到|在不断
zbh	做不好
zbj	资本家|在北京|再不济
zbk	走不开|在半空
zbl	在巴黎|做不了|走不了
zbx	再不行
zbz	做不做|在不在
zdb	坐地板
vdd	知道的
zdh	自动化|最大化
zdl	做到了|在大陆|走丢了
sdt	死对头
zdw	在逗我
zdx	总担心
zdy	自定义|总动员
zfi	字符串|再分成
zgi	在工厂|走过场
zgl	足够了|走过来
zgm	在干嘛
zgq	走过去
zgr	最感人
zgz	在工作|自顾自
zhh	藏红花
zhk	最好看
zhl	做好了
zhm	走后门
zht	再回头
zhu	最好是|咋回事
zhx	综合性|在火星|最好笑
zjd	自己的|最近的|总觉得
zjg	自己干
zjl	增加了|总经理
zjn	早几年
vju	这就是|这件事
zjx	在进行|总结性|自觉性
zjy	自驾游
zlx	再联系
zly	坐落于|自来也
zlz	坐落在|造轮子
zmb	怎么办|怎么不
zmc	怎么才
zmd	在面对|怎么打|走马灯
zmg	在某个|怎么搞|怎么关
zmh	怎么会|最美好
zmj	怎么就|在民间|怎么讲
zml	怎么了|怎么练
zmm	做买卖
zmn	怎么能|怎么弄
zmq	自贸区|在目前
zms	怎么送
zmu	怎么说|在面试
zmv	怎么着|怎么找
zmx	怎么写|怎么选|怎么行
zmy	怎么样|在没有
zmz	怎么做|字幕组
znl	在哪里
znn	在哪呢
zql	组起来
zqm	最起码|在前面|最全面
zrh	自然会
zrm	自然码
zrw	自认为|则认为
zrx	责任心|责任险
zth	座谈会|紫藤花
ztx	走天下
zub	在身边|座上宾
zul	早说了
zvd	最终的|早知道
zvg	在这个
zvh	子账号
zvl	在这里|增长率|自制力
zvn	在这呢
zvq	自治区|在之前|走着瞧
zxi	自行车|在现场
zxl	坐下来|在心里
zxq	走下去|做下去
zyb	再也不
zyc	再一次|在一次|做一次
zyd	怎样的|左右的|早一点
zyg	做一个
zym	座右铭
zyw	自以为|在野外|总以为
zyx	做一些|做一下
zyy	作用域
zzn	坐在那
zzx	自尊心
zzy	再怎样
mgy	每个月|莫过于
aba	爱不爱|艾比安
abg	熬不过|阿兵哥
abj	矮半截|阿布贾
abl	按比例|阿波罗
abv	按标准|熬不住
acl	按错了|爱错了
ade	安道尔|奥多尔
aef	阿尔法|埃尔法
ael	爱尔兰|奥尔良
afh	案发后|阿富汗
aft	阿凡提
agl	安哥拉
hgl	很给力|花光了|盎格鲁
agt	阿根廷
agv	爱国者
ahu	安徽省
ail	按常理|按出来
ajl	安静了|安吉拉
ajs	氨基酸
alb	阿拉伯|按喇叭
ald	爱劳动|阿拉丁
alq	阿联酋
alu	按理说|安禄山
aly	阿里云|艾莉亚
amy	按摩椅|安眠药
amz	爱面子
amv	爱慕者
aqg	爱情观|安全感
aqh	爱琴海
aqj	安全局|爱清洁
aqp	爱情片|安全牌
aqx	安全性|安全线
aqz	安全组|挨枪子
asg	阿三哥
ask	奥斯卡|爱思考
asl	奥斯陆|爱死了
atj	凹透镜|凹凸镜
atu	安徒生|阿图什
aum	阿诗玛|啊什么
auu	爱谁谁|鞍山市
avb	安装包|安装版
awh	奥委会|安委会
ayw	哎呦喂|哎哟喂
azb	艾滋病
bbh	不包含|版本号
bbi	办不成|不包吃
bbq	北半球|保不齐
bbt	棒棒糖|半边天
bby	不必要|北冰洋|不包邮
bbx	并不像
bcl	不错了|报错了
bdv	变电站|别当真
bdz	半吊子|布袋子
bfh	不符合|百分号
bfy	暴风雨|不富裕
bfz	不负责|不复杂
bgd	不固定|不敢当
bgm	不感冒|帮个忙
bhb	不会吧|不好吧
bhh	保护好|不好喝
bjh	比较好|不计划
bjx	北极熊|百家姓
bjy	不建议|不均匀
bjz	包饺子|败家子
bky	不可以|不可用
blb	玻璃杯|拔萝卜
blc	不理睬|八里村
bld	便利店|白兰地
blf	布洛芬|别浪费
blg	板蓝根|玻璃钢
blh	博览会|不灵活
blk	布鲁克|不离开
bll	不良率|不聊了
blm	玻璃门|爆冷门
blq	保龄球|避雷器
bls	辩论赛|不利索
blu	比利时|不论是
blw	芭蕾舞|玻璃碗
bly	不利于|不乐意
bmb	不明白|报名表
bmn	本命年|白毛女
bmy	并没有|不满意
bnl	不努力|别闹了
bnv	白内障|帮你找
bps	不怕死|不配送
bpy	不便宜
bqd	不确定|不恰当
bqr	不求人|白切肉
bqt	包青天|标签贴
brv	不认真|不认账
buu	办实事
bsw	波斯湾|不算晚
bsx	不死心|冰丝席
bte	白天鹅|摆摊儿
btf	白头发|不通风
btg	不提供|不通过
bti	不提倡|鼻涕虫
btj	不推荐|不提交
btm	不透明|半透明
btq	不透气|不听劝
btt	扁桃体|半条腿
btu	不挑食|不太熟
btw	别太晚|被投喂
bui	办事处|不擅长
buw	不是我|不失为
bvf	辩证法|包装费
bvj	保证金|不着急
bvm	本周末|不知名
bwv	不完整|保卫战
bxb	白细胞|不行吧
bxg	不习惯|不锈钢
bxm	不行吗|不香吗
bxp	必需品|便携屏
bxx	不小心|不相信
bxy	不需要|不想要
byb	不一般|毕业班
byc	贬义词|褒义词
byd	不一定|不用的
byf	八月份|搬运费
byg	不应该|不用管
byj	不要紧|备用金
byl	不要了|不用了
byt	避孕套|不要停
byu	毕业生|不用说
byw	被誉为|本以为
byx	不允许|不影响
byz	布依族|不用做
bzh	不在乎
bzx	不自信|不在线|不在行
bzi	不赞成|不在场
bzj	不在家|不自觉
bzl	不做了|不早了
bzm	不怎么|别做梦
bzq	变阻器|不足取
bzr	不自然|把责任
bzu	不再是|不早说
bzw	不作为|被作为
bzy	不在意|别在意
bzz	不自在|包粽子
cbd	猜不到|擦不掉
cbl	错不了|测不了
cbu	才不是|凑不上
cbv	藏不住|存不住
cbz	错别字|菜包子
ccc	猜猜猜|噌噌噌
cch	擦擦汗|擦擦灰
ccp	残次品|从磁盘
cdl	猜到了|猜对了
cgj	擦干净|踩过界
cgl	错过了|采购量
chj	催化剂|才回家
ckn	才可能
cku	才开始|参考书
clb	从来不|材料表
clc	擦了擦|材料仓
clx	策略性|材料学
cmm	藏猫猫|草莓苗
cmq	从目前|催眠曲
cmr	聪明人|草木染
cmy	从没有|才没有
cng	才能够|慈宁宫
cql	藏起来|存起来
ctz	菜团子|醋坛子
cub	测试版|次声波
cvj	财政局|采摘节
cvy	侧重于
ivy	成这样|垂直于|出主意
cwh	村委会|财务会
cwl	错误率|测完了
cxf	磁悬浮|促销费
cxy	才需要|促销员
cyb	葱油饼|搓衣板
cyd	参与度|参与到
czg	存在感|曾做过
czt	操作台|草字头
dbd	达不到|对不对
dbf	大部分|蛋白粉
dbi	大巴车|打不出
dbj	都比较|等不及
dbk	打不开|躲不开
dbm	蛋白酶|道不明
dbr	都不如|倒不如
dbt	都不同|大白天
dbu	都不是|倒不是
dbv	蛋白质|对不住
dbx	代表性|都必须
dby	都不用|大本营
dbz	代表作|带不走
dcl	电磁炉|打错了
ddl	得到了|达到了
ddp	电灯泡|打地铺
ddq	对得起|打蛋器
deb	第二步|第二遍
dec	第二次|第二层
deg	第二个|第二关
dem	第二名|第二幕
den	第二年|蒂尔尼
deq	第二期|大而全
dfb	电饭煲|定风波
dfd	大幅度|大饭店
dfg	大法官|电饭锅
dfh	东方红|大富豪
dfm	等方面|单方面
dfr	东方人|豆腐乳
dfv	大发展|豆腐渣
dfx	大方向|地方性
dfy	当翻译|丹凤眼
dgb	当过兵|打个包
dgg	打广告|顶呱呱
dgi	胆固醇|代工厂
dgm	大规模|大革命
dgn	等功能|多功能
dgq	打过去|道个歉
dhg	读后感|都会给
dhh	都很好|打哈哈
dhi	大货车|大合唱
dhs	导火索|胆红素
dih	调查和|倒春寒
dil	打出了|洞察力
dju	大街上|倒计时
dkn	都可能|都困难
dlb	大老板|得了吧
dlc	第六次|大老粗
dld	大量的|多伦多
dlg	打了个|第六感
dlh	度量衡|低龄化
dlj	多了解|邓丽君
dll	带来了|都来了
dlm	对立面|到了吗
dlq	打篮球|多了去
dlr	代理人|大陆人
dlt	大冷天|电路图
dlu	道路上|大理石
dlx	独立性|动力学
dly	独立于|大老远
dlz	都来自|掉链子
dmc	代名词|动名词
dmq	但目前|独木桥
dne	丹尼尔|低能儿
dnh	多年后|大男孩
dny	东南亚|都能用
dpd	大排档|大盘点
dpw	肚皮舞|杜培武
dpx	地平线|堆排序
dqc	大气层|第七次
dqh	电气化|到期后
dqs	道琼斯|黛绮丝
dqv	第七章|当权者
dri	单人床|丁汝昌
dsg	第三个|第四个
dsn	第三年|迪斯尼
dtb	得特别|跌停板
dte	地摊儿|呆头鹅
dth	地摊货|洞庭湖
dtl	到头来|代替了
dtq	大提琴|带他去
dtt	动态图|断头台
dtv	地铁站|打头阵
dty	等同于|大团圆
dub	大手笔|登山包
dvd	都知道|但直到
dvg	对中国|对着干
dvq	大周期|等着瞧
dvx	大中型|地质学
dwk	对胃口|吊胃口
dww	第五位|大无畏
dwy	动物园|定位于
dxb	癫痫病|大小便
dxd	典型的|单行道
dxe	店小二|杜雪儿
dxf	东西方|点下方
dxg	大峡谷|胆小鬼
dxh	都喜欢|电信号
dxi	大学城|多线程
dxj	大小姐|大型机
dxl	大学里|掉下来
dxm	大熊猫|大项目
dxq	掉下去|打下去
dxs	单相思|大像素
dxt	低血糖|多选题
dxu	大学生|对学生
dxx	大小写|独行侠
dxy	都需要|大西洋
dxz	到现在|东乡族
dyb	第一步|第一遍
dyc	第一次|第一层
dyf	第一份|独一份
dyg	第一个|都应该
dyi	第一场|打圆场
dyn	第一年|对于你
dyr	代言人|第一人
dyy	但由于|得益于
dzh	到最后|大杂烩
dzq	电子琴|打砸抢
dzw	对自我|都在玩
ebe	饿不饿|二百二
ebf	而并非|耳边风
ebh	而不会|而变化
ebl	饿扁了|二比零
ebn	而不能|二百年
ebq	而不去|二不抢
ebs	而伴随|饿不死
eby	而不用|而不应
edj	二等奖|二当家
edz	饿肚子|二等座
epg	阿房宫
ege	恩格尔
egt	二锅头
ehh	恶狠狠
ehy	二合一|而后又
eiu	而产生|二传手
ejd	二季度|而降低
elt	二郎腿|二联体
elu	鹅卵石|二郎神
emu	峨眉山|恶魔兽
enj	二年级
esl	饿死了|二三流
esu	二三十|二三事
etj	儿童节|二头肌
eub	二十八|而是把
eud	二十多|二十点
eue	二十二|二是二
euj	二十九|二十几
eul	二十六|恶势力
eun	二十年
euq	二十七|而生气
eus	二十四|二十岁
euw	二十五|二十万
euy	而是要|二十一
euz	二傻子|二十字
evi	而著称|二指禅
exy	二选一
eyf	二月份
fbi	分辨出|发不出
fbk	分不开|放不开
fbl	发布了|分辨率
fbm	方便面|方便吗
fbq	分不清|付不起
fbv	防不住|犯不着
fbx	放不下|帆布鞋
fby	发表于|翻白眼
fcl	发财了|发错了
fdd	发达的|肥嘟嘟
fdg	梵蒂冈|分蛋糕
fdi	房地产|发电厂
fdm	防盗门|肺动脉
fdp	反对派|反动派
fdu	反倒是|辅导书
fdy	辅导员|副导演
fed	菲尔德|富二代
fes	凡尔赛
fib	非常棒|非出版
fid	非常多|非常的
fif	肥肠粉|风吹拂
fig	非常高|非常规
fii	非常差|罚出场
fij	副处级|放长假
fik	妇产科|非常快
fim	非常慢|非常美
fin	非常难|范畴内
fiq	非常强|发出去
fir	非常热|范纯仁
fiu	方程式|非常少
fiv	复仇者|房产证
fix	防潮箱|放长线
fjx	分界线|发际线
fkd	疯狂地|防空洞
fkp	防空炮|放空炮
fkz	方块字|冯裤子
fla	法雷奥
fli	分离出|分理处
fll	法拉利|负利率
flp	飞利浦|菲利普
flq	费力气|福利群
fls	发牢骚|凤梨酥
flw	法令纹|法老王
fly	福利院|傅立叶
flz	负离子|弗雷泽
fml	放慢了|发霉了
fmm	敷面膜|傅某某
fmp	非卖品|仿冒品
fmt	飞毛腿|富媒体
fmw	分泌物
fmy	腹膜炎|驸马爷
fnh	府南河|风怒号
fnj	妇女节|腓尼基
fpl	废品率|分配率
fpq	发脾气|分配权
fqd	夫妻店|分歧点
fqh	凤求凰|风情画
fqv	肺气肿|发起者
frd	副热带|法人的
frj	缝纫机|夫人家
fsr	烦死人
fss	非诉讼|风嗖嗖
fsx	发散性|分散性
ftj	伏特加|反贪局
fvf	反政府|反证法
fvh	法制化
fvv	发展中|副镇长
fvy	非专业|分之一
fwi	俯卧撑|服务差
fxd	发祥地|风险低
fxg	冯小刚|方向感
fxj	法学家|抚恤金
fxs	法西斯|风穴寺
fxu	分析师|烦心事
fxy	飞行员|法学院
fyc	反义词|方言词
fyd	发源地|复印店
fyg	发一个|翻译官
fyj	复印件|发邮件
fyl	赋予了|反映了
fyq	发言权|翻译器
fyx	放一些|防御性
fzg	负罪感|副总管
fzx	复杂性|犯罪学
fzy	副作用|反作用
gat	港澳台|公安厅
gbb	根本不|干巴巴
gbd	怪不得|搞不定
gbg	该不该|够不够
gbh	更不会|搞不好
gbi	改编成|高不成
gbj	广播剧|赶不及
gbl	改变了|管不了
gbm	各部门|宫本茂
gbn	更不能|哥白尼
gbq	过不去|搞不清
gbt	贵宾厅|搞半天
gbu	跟不上|更别说
gbv	高标准|管不着
gbx	根本性|鬼把戏
gby	个把月|过把瘾
gbz	盖被子|光膀子
gcu	高材生|高才生
gdp	高电平
gdq	过得去|各地区
gdu	更多是|跟得上
gdz	光电子|鬼点子
gfh	规范化|更符合
gfq	高峰期|管风琴
gfx	高风险|规范性
gih	国产化|工程化
gij	歌唱家|更持久
giu	工程师|刚出生
giw	广场舞|刚吃完
gji	公交车|拐角处
gjj	公积金|更接近
gjz	关键字|估计在
gkj	高科技|光刻机
gks	公开赛|更快速
gkx	公开信|更科学
gln	给了你|过两年
glr	管理人|过来人
gmq	给母亲|冠名权
gmv	购买者|擀面杖
gmx	过敏性|更明显
gnd	高难度|高浓度
gnn	姑奶奶|狗男女
gnq	更年期|更年轻
gnw	国内外|归纳为
gnx	功能性|概念性
gpg	光屁股|狗皮膏
gpi	跟屁虫|龚鹏程
gpx	公平性|干趴下
gqd	过去的|高强度
gqi	搞清楚|更清楚
gqj	国庆节|宫崎骏
gql	过去了|过期了
gqm	更全面|鬼敲门
gqt	跟其他|共青团
gqx	更清晰|高清晰
gtb	钢铁般|改天吧
gtc	感叹词|光涂层
gtd	共同点|光头党
gtf	刮台风|过堂风
gth	个体户|感叹号
gti	更突出|共同处
gtj	更贴近|国土局
gtl	古天乐|改天聊
gtn	管他呢|光头男
gts	古铜色
gvh	公众号
gwb	公文包|给我爸
gwu	跟我说|个位数
gwy	公务员|国务院
gyd	过一段|高一点
gyj	工业界|冠亚军
gyp	工艺品|工业品
gyq	公元前|更有趣
gyv	更严重|过一阵
gyx	改一下|高一些
gyy	更愿意|归因于
hax	海岸线|海安县
hbb	汉堡包|好爸爸
hbc	还不错|很不错
hbf	好办法|环保法
hbg	还不够|很宝贵
hbj	还比较|环保局
hbk	还包括|还不快
hbq	很抱歉|回不去
hbr	还不如|哈比人
hbt	赫伯特|好半天
hbu	还不是|河北省
hbv	和帮助|还不止
hbw	花不完|还被我
hby	后半夜|很必要
hdc	很多次|好多次
hdh	好的话|划等号
hdn	很多年|好多年
hdr	很多人|好多人
heb	哈尔滨|好二本
hfl	恢复了|花费了
hgd	哈工大|花骨朵
hgh	会更好|回个话
hgq	好歌曲|昏过去
hgv	合格证|会跟着
hhf	后恢复|何海峰
hhj	黑胡椒|化合价
hhr	合伙人|会很热
hhy	还会有|后悔药
hhz	还会在|好孩子
hid	好吃的|汉成帝
hif	好处费|很充分
hih	护城河|火柴盒
hii	洪承畴|昏沉沉
hij	很常见|回车键
hiu	火车上|候车室
hiv	火车站|怀揣着
hjn	好几年|海军呢
hkb	户口本|很恐怖
hkj	黑科技|海空军
hky	还可以|航空业
hlg	火龙果|后两个
hlm	红楼梦|好了吗
hlp	黄脸婆|很离谱
hmb	很明白|坏毛病
hmc	花名册|好名次
hmf	很麻烦|好麻烦
hmg	哈密瓜|很敏感
hmm	很迷茫|灰蒙蒙
hmq	很勉强|回马枪
hms	红霉素|还没死
hmx	很明显|鸿蒙系
hnd	海南岛|很难得
hnj	回娘家|很难记
hnt	混凝土|怀念他
hnu	很难受|海南省
hnz	还能在|哈尼族
hpg	黑苹果|和平鸽
hpj	喝啤酒|黄浦江
hpm	海平面|和平门
hpp	灰扑扑|红扑扑
hpy	很便宜|好朋友
hqd	很强大|何其多
hqi	很清楚|好去处
hql	回去了|喝起来
hqq	很亲切|黑漆漆
hqt	或其他|核潜艇
hqu	黄秋生|换气扇
htc	回头草|花田错
hte	黑天鹅|合同额
htg	还提供|猴头菇
hth	皇太后|很听话
htj	黄庭坚|回头见
htk	很痛苦|回头客
htl	回头率|滑铁卢
htr	核桃仁|后腿肉
htt	活脱脱|红彤彤
htu	和同事|火头上
htw	横条纹|回头望
htz	皇太子|黑体字
huj	后视镜|花时间
hur	红烧肉|很少人
hwg	宏微观|和为贵
hwn	很无奈|哈瓦那
hwq	核武器|婚外情
hwx	红外线|海王星
hwy	画外音|还未有
hxb	还行吧|红细胞
hxl	活下来|候选栏
hyb	很一般|喝一杯
hyf	换衣服|会议费
hyh	很遗憾|缓一缓
hyl	回忆录|欢迎来
hyq	话语权|黑眼圈
hzh	很在乎|洪泽湖
ibb	吃不饱|场不败
ibf	吃饱饭|吃白饭
ibi	吃不吃|查不出
ibk	储备库|吃不开
ibv	传播者|撑不住
ibx	吃不下|传播学
icy	常采用|吃错药
idd	彻底的|沉甸甸
idk	吃大亏|吃得开
idl	吃多了|吃到了
idq	充电器|陈丹青
idx	吃东西|吃得下
ifl	吃饭了|重复率
ifq	冲锋枪|吃饭去
igs	车管所|超光速
iiq	冲出去|传出去
ijt	长镜头|肠绞痛
ijv	持久战|创建者
ikb	触控板|触控笔
ikg	长宽高|陈凯歌
ikt	创可贴|创口贴
ilf	差旅费|炒冷饭
ili	查了查|处理成
ilp	陈列品|处理品
ilq	处理器|成立前
ilv	创立者|车轮战
imd	崇明岛
imm	重命名|撑门面
imp	触摸屏|炒面片
imu	触摸式|场面上
imv	充满着|沉默着
imy	沉迷于|沉湎于
inb	吹牛逼|朝那边
inj	刹那间
inl	超能力|吃腻了
inm	处女膜|肠黏膜
inr	成年人|吃牛肉
inz	处女座|处女作
iqu	重庆市|常青树
iqw	出去玩
itn	出头鸟
itt	赤条条|尝甜头
itx	长筒靴|穿透性
ity	差太远|初体验
ivb	成正比|初中部
iwf	吃完饭|吃午饭
iwh	吃完后|常委会
iwj	储物间|出外景
iwt	出问题|成问题
iww	成为我|颤巍巍
iwx	常温下|储物箱
ixf	穿校服|吃闲饭
ixl	出现了|持续了
ixq	吃下去|沉下去
ixs	长相思|储蓄所
iyb	创业板|吃一半
iys	超音速|朝阳寺
izl	创造了|创造力
jav	紧挨着|就按照
jbf	基本法|加班费
jcc	决策层|急匆匆
jcl	记错了|就惨了
jdd	简单的|娇滴滴
jdf	京东方|借贷方
jdj	基督教|教大家
jdl	决定了|几点了
jdq	经得起|决定权
jdu	绝对是|简单说
jdx	阶段性|决定性
jdy	就读于|就等于
jeg	饥饿感|今儿个
jfp	警匪片|假发票
jfq	就放弃|解放前
jft	激发态|简繁体
jfu	教辅书|紧肤水
jfv	几分钟|蒋方舟
jfx	就发现|见分晓
jgj	就感觉|金刚经
jgl	就够了|举个例
jgm	见过面|见个面
jgn	就给你|结果呢
jgp	激光炮|截个屏
jgu	井冈山|结果是
jgw	甲骨文|就给我
jgz	几个字|金刚钻
jhb	就好比|几乎不
jhg	将会给|脚后跟
jhi	救护车|交汇处
jhj	交换机|就回家
jhm	几乎每|激活码
jhr	监护人|江湖人
jht	结合体|交换台
jjc	经济舱|荆棘丛
jjf	经济法|加减法
jjg	肩胛骨|精加工
jji	竞技场|就经常
jjk	借记卡|几节课
jjl	解决了|拒绝了
jjm	假睫毛|解解闷
jjn	近几年|娇娇女
jjr	节假日|经纪人
jjs	急加速|晋级赛
jjt	经济体|近几天
jnp	纪念品|加农炮
jqn	几千年|禁区内
jqx	交强险|进取心
jru	既然是|假如说
jry	就容易|金融业
jtg	晶体管|就通过
jui	寄生虫|谏山创
jvf	军政府|鸡爪疯
jvj	就直接|假正经
jvk	急诊科|贾樟柯
jvm	就这么|家长们
jvr	截止日|见证人
jvt	几张图|脚趾头
jvv	居住证|竞争者
jwb	巨无霸|教务部
jwd	经纬度|建文帝
jwh	居委会|酒文化
jwj	鸡尾酒|禁卫军
jwl	就为了|就完了
jwn	较往年|几万年
jwr	局外人|几万人
jwu	家务事|今晚上
jwv	绝望中|健忘症
jwx	基围虾|经纬线
jwy	几万元|寄望于
jxp	教学片|荆霄鹏
jxy	就需要|仅限于
jys	交易所|解压缩
jyz	建议在|脚丫子
jzb	酒糟鼻|极坐标
jzj	就自己|剧作家
jzt	金字塔|就在他
jzy	就在于|就再也
kbd	看不到|看不懂
kbg	看不惯|看病贵
kbj	看不见|可不就
kbk	魁北克|看不看
kbl	看不了|快不了
kbp	恐怖片|快步跑
kbv	扛不住|靠不住
kbx	可比性|可不行
kby	可不要|空白页
kdd	肯定的|看得懂
kdg	看到过|看得惯
kdi	看得出|卡丁车
kdl	看到了|口袋里
kdq	看得起|看得清
kdu	肯定是|看电视
kdv	扛得住|靠得住
kdy	看电影|肯定有
kfq	开放区|开发区
kfu	开发商|开放式
kfx	开放性|开放型
kfy	咖啡因|口服液
kfz	孔夫子|开发组
kgb	克格勃|可改变
kgv	恐高症|恐鬼症
khp	科幻片|看黄片
khz	葵花籽|看孩子
kib	开场白|课程表
kid	可耻的|快车道
kij	空城计|抗冲击
kix	开创性|可持续
kjl	看见了|科技类
kkx	可靠性|可控性
kli	刻录成|可怜虫
kmg	看门狗
kmh	开门红|看漫画
kml	喀麦隆|卡米拉
kmz	可满足|扣帽子
knh	可能会|困难户
knl	困难了|看腻了
knm	可能吗|靠你们
knx	可能性|看那些
kpl	开辟了|堪培拉
kqi	看清楚|开汽车
kqu	矿泉水|喀秋莎
krn	可容纳|看热闹
ksx	可塑性|扩散性
kte	卡特尔|卡塔尔
kth	开通后|客套话
